municipal_id,name,name_ar,state,lat,lng
11013,Carthage,قرطاج,Tunis,36.854517,10.135934
11016,Bardo,باردو,Tunis,36.807481,10.1339164
11017,Kram,الكرم,Tunis,36.832009,10.311266
11018,Sidi Hessine,سيدي حسين,Tunis,36.768733,10.112072
12016,Mnihla Etadhamon,التضامن المنيهلة,Ariana,36.846152,10.116665
13011,Ben Arous,بن عروس,Ben Arous,36.74832,10.225346
14017,El-Battan,البطان,La Manouba,36.804186,9.844304
21020,Hammam Al Agzaz,حمام الأغزاز,Nabeul,36.874485,11.108491
22016,Djebel El West,جبل الوسط,Zaghouan,36.556654,10.057864
23023,Tinjah,تينجة,Bizerte,37.16279,9.762683
31017,Quballat,قبلاط,Beja,36.5406976,9.6564092
31018,El Maâgoula,المعقولة,Beja,36.7091752,9.2113669
32014,Wadi Maliz,وادي مليز,Jendouba,36.453876,8.5501283
33014,Qalat -As-Sanan,قلعة سنان,Kef,35.7556265,8.352656
34014,El krib,الكريب,Siliana,36.3320989,9.0349977
34017,Ar-Rawhiyah,الروحية,Siliana,35.649171,9.055374
41017,Bou Hadjila,بوحجلة,Kairouan,35.396378,10.049862
43016,Essabala,السبالة,Sidi Bou Zid,35.178584,9.277512
14019,Douar Hicher,دوار هيشر,La Manouba,36.827741,10.0891256
32011,Jendouba,جندوبة,Jendouba,36.502375,8.777167
52033,Ghenada,غنادة,Monastir,35.4963455,10.6956979
53015,Bou Merdes,بومرداس,Mahdia,35.456042,10.7210593
53024,El Bhirra,البرادعة,Mahdia,35.3576262,10.9967566
61014,El Aïn,العين,Sfax,34.7707334,10.6928804
61017,Kerkennah,قرقنة,Sfax,34.7205723,11.1407184
61023,Manzil Sakir,منزل شاكر,Sfax,34.964466,10.369022
71012,Sened,السند,Gafsa,34.540676,9.25478
72015,Tamerza,تمغزة,Tozeur,34.3863,7.934704
73015,Souk Lahad,سوق الأحد,Kebili,33.776626,8.858522
81018,Al-Zar At,الزرات,Gabes,33.668193,10.350666
82016,Djerba Midoun,جربة ميدون,Medenine,33.8205,10.998
13018,Al Khulaydiyah,الخليدية,Ben Arous,36.644904,10.192888
42011,Kasserine,القصرين,Kasserine,35.168995,8.836698
43017,Sidi Ali Ben Aoun,سيدي علي بن عون,Sidi Bou Zid,34.85262,9.144
43019,Ouled Haffouz,أولاد حفوز,Sidi Bou Zid,35.051531,9.871796
52013,Bembla et  Manarah,بنبلة المنارة,Monastir,35.7060389,10.7889
61022,Agareb,عقارب,Sfax,34.74489,10.5278
81011,Gabes,قابس,Gabes,33.88511,10.104461
83015,Bir Lahmar,البئر الأحمر,Tataouine,33.183075,10.444082
11011,Tunis,تونس,Tunis,36.8064948,10.1815316
11012,La Goulette,حلق الوادي,Tunis,36.8200203,10.3020843
11015,La Marsa,المرسى,Tunis,36.8891165,10.3222671
12012,Ariana,سكرة برج الوزير,Ariana,36.8650901,10.2123551
12013,Raoued,رواد,Ariana,36.9487824,10.1983431
13012,Rades,رادس,Tunis,36.77159839999999,10.2768388
13016,Mornag,مرناق,Ben Arous,36.6852895,10.2880581
13017,Fouchana,المحمدية فوشانة,Ben Arous,36.6959499,10.1647233
13019,Bou Mhel el-Bassatine,بومهل البساتين,Ben Arous,36.7269914,10.2992789
13021,El Mourouj,المروج,Ben Arous,36.713434,10.2095525
14011,Manouba,منوبة,Tunis,36.8093284,10.0863269
14012,Den Den,الدندان,Tunis,36.8098408,10.1115181
14013,Jedeida,الجديدة,La Manouba,36.8545601,9.9297445
14014,Tebourba,طبربة,La Manouba,36.839786,9.8515593
14015,Borj El Amri,برج العامري,La Manouba,36.7118658,9.8822665
14018,Oued Ellil,وادي الليل,La Manouba,36.842686,10.0387632
21011,Nabeul‎,نابل,Nabeul,36.4512893,10.7356634
21013,Béni Khiar,بني خيار,Nabeul,36.4596214,10.7830826
21017,Tazerka,تازركة,Nabeul,36.5506467,10.8395029
21018,Manzil Tamim,منزل تميم,Nabeul,36.78229109999999,10.9863525
21019,Kelibia,قليبية,Nabeul,36.8461602,11.0994667
21021,Al Huwariyah,الهوارية,Nabeul,37.0534622,11.0117917
21022,Sulayman,سليمان,Nabeul,36.6966213,10.4930564
21024,Manzil Bu Zalafah,منزل بوزلفة,Nabeul,36.6832659,10.5830644
21025,Beni Khalled,بني خلاد,Nabeul,36.6478364,10.5915072
21026,Grombalia,قرنبالية,Nabeul,36.6024831,10.5014909
21027,Bou Argoub,بوعرقوب,Nabeul,36.5307957,10.5523086
21028,Hammamet,الحمامات,Nabeul,36.4072574,10.6224706
21030,Zaouite Azmour,أزمور,Nabeul,36.9266407,11.006138
21031,Manzil Hurr,منزل حر,Nabeul,36.7278203,10.956682
21032,Taklisah,تاكلسة,Nabeul,36.792339,10.6295091
21033,Zaouiet Djedidi,زاوية الجديدي,Nabeul,36.63917800000001,10.5689948
21034,Dar Allouche,دار علوش,Nabeul,36.9672673,11.0542052
22011,Zaghouan,زغوان,Zaghouan,36.4091188,10.1423172
22012,Zriba Village,الزريبة,Zaghouan,36.2997185,10.2691264
22013,El Fahs,الفحص,Zaghouan,36.3778012,9.9101915
22014,Nadour,الناظور,Zaghouan,36.1206242,10.0947232
22015,Bir al Mashariqah,بير مشارقة,Zaghouan,36.5186996,9.9548905
23011,Bizerte,بنزرت,Bizerte,37.2767579,9.8641609
23012,El Alia,العالية,Bizerte,37.1727454,10.0331692
23014,Metline,الماتلين,Bizerte,37.2488951,10.0415603
23015,Raf Raf,رفراف,Bizerte,37.1930207,10.1983431
23016,Menzel Bourguiba,منزل بورقيبة,Bizerte,37.1432384,9.7846002
23017,Sajanan,سجنان,Bizerte,37.0596144,9.2397606
23018,Ghar al Milh,غار الملح,Bizerte,37.16868729999999,10.188536
23019,Awsajah,عوسجة,Bizerte,37.1416895,10.1017207
23020,Mateur,ماطر,Bizerte,37.0388867,9.664763599999999
23021,Menzel Jemil,منزل جميل,Bizerte,37.238125,9.9185708
23022,Menzel Abderrahmane,منزل عبد الرحمان,Bizerte,37.2418804,9.873890699999999
31011,Beja,باجة,Beja,36.7333193,9.1843676
31012,Nefza,نفزة,Beja,36.9776616,9.0778438
31013,Medjez el Bab,مجاز الباب,Beja,36.6484118,9.6146499
31014,Testour,تستور,Beja,36.5499,9.4422664
31015,Teboursouk,تبرسق,Beja,36.4594466,9.246687399999999
31016,Amdoun,زهرة مدين,Beja,36.7730592,9.0847566
32012,Bou Salem,بوسالم,Jendouba,36.6103092,8.9742237
32013,Ghardimaou,غار الدماء,Jendouba,36.4484784,8.4376151
32015,Tabarka,طبرقة,Jendouba,36.9482754,8.7426101
32016,Ayn Darahim,عين دراهم,Jendouba,36.77364499999999,8.6848147
32017,Firnanah,فرنانة,Jendouba,36.6612874,8.6848147
32018,Beni M Tir,بني مطير,Jendouba,36.7418323,8.7357274
33011,El Kef,الكاف,Kef,36.1679648,8.7095789
33015,Kalaat Khasba,القلعة الخصباء,Kef,35.657633,8.588585799999999
33017,Ad Dahmani,الدهماني,Kef,35.943224,8.8307626
33018,El Ksour,القصور,Kef,35.8875895,8.8886672
33019,As Sars,السرس,Kef,36.0774387,9.0211813
33020,Nebeur,نبر,Kef,36.2956412,8.767392899999999
33021,Manzil Salim,منزل سالم,Kef,35.8540444,8.4746436
33022,Tunis,الطويرف,Tunis,36.8474903,10.1205371
34011,Siliana,سليانة,Siliana,36.0887208,9.3645335
34012,Bu Aradah,بوعرادة,Siliana,36.3475304,9.6257837
34013,Qa Afur,قعفور,Siliana,36.3231099,9.3256947
34016,Maktaris,مكثر,Siliana,35.8529576,9.2037508
34019,Kasra,كسرى,Siliana,35.8140729,9.3652272
34020,Sidi Bou Rouis,سيدي بورويس,Siliana,36.1772129,9.1262461
41012,As-Subayhah,السبيخة,Kairouan,35.9329039,10.0219822
41014,Ayn Jalulah,عين جلولة,Kairouan,35.7944487,9.8041245
41016,Al-Ala,العلا,Kairouan,35.6136193,9.5645663
41018,Nasr Allah,نصر الله,Kairouan,35.3562368,9.829233799999999
41019,Hajeb El Ayoun,حاجب العيون,Kairouan,35.3929351,9.5423165
41020,Echrarda,الشراردة,Kairouan,35.1178779,10.0317707
41022,Menzel M'Hiri,منزل مهيري,Gouvernorat de Kairouan,35.4198616,9.8503905
42013,Sabibah,سبيبة,Kasserine,35.5459885,9.0736964
42014,Thala,تالة,Kasserine,35.58303799999999,8.667192
42015,Jedelienne,جدليان,Kasserine,35.5931556,9.0598732
42016,Thelepte,تلابت,Kasserine,34.9792262,8.5913335
42018,Firyanah,فريانة,Kasserine,34.9399447,8.5666077
42020,Haydrah,حيدرة,Kasserine,35.5675146,8.4430997
43011,Sidi Bouzid,سيدي بوزيد,Sidi Bou Zid,35.0354386,9.4839392
43012,Jilmah,جلمة,Sidi Bou Zid,35.2686888,9.4283801
43013,Regueb,الرقاب,Sidi Bou Zid,34.8585605,9.7846002
43014,Al-Miknassi,المكناسي,Sidi Bou Zid,34.606659,9.607052999999999
43018,Al-Mazzunah,المزونة,Sidi Bou Zid,34.5773859,9.8431866
43020,Menzel Bouzaiane,منزل بوزيان,Sidi Bou Zid,34.5721146,9.4256031
51012,Zaouit-Ksibat - Thrayett,قصيبة والثريات,Sousse,35.77800149999999,10.6281014
51013,Masakin,مساكن,Sousse,35.7255757,10.5802503
51014,Hammam Sousse,حمام سوسة,Sousse,35.886399,10.5915072
51015,Kalâa Seghira,القلعة الصغرى,Sousse,35.8217563,10.5605541
51017,Kalaa Kebira,القلعة الكبرى,Sousse,35.8698243,10.5352367
51018,Hergla,هرقلة,Sousse,36.0314115,10.5043026
51023,Sousse,الزهور,Sousse,35.7894826,10.5823609
51024,Messadine,المسعدين,Sousse,35.7594178,10.5943216
51025,Sidi Al-Hani,سيدي الهاني,Sousse,35.6791702,10.3231276
52011,Monastir,المنستير,Monastir,35.7642515,10.8112885
52012,Khniss,خنيس,Monastir,35.718132,10.8141096
52014,Ouardanine,الوردانين,Monastir,35.7087104,10.6787942
52015,Maatmeur,الساحلين ومعتمر,Monastir,35.751204,10.690903
52016,Jemmal,جمال,Monastir,35.622038,10.7718025
52017,Zaramidin,زرمدين,Monastir,35.5739749,10.7351519
83012,Ghomrassen,غمراسن,Tataouine,33.06417390000001,10.3385624
83013,Remada,رمادة,Tataouine,32.3160391,10.4003284
83014,Dehiba,ذهيبة,Tataouine,32.0134494,10.6956979
11014,Carthage,سيدي بوسعيد,Tunis,36.8698325,10.3413691
12014,Kelaat El Andaluus,قلعة الأندلس,Ariana,37.0618319,10.1199168
13015,Ez Zahra,الزهراء,Ben Arous,36.744922,10.3076953
14016,Mornaguia,المرناقية,La Manouba,36.7519977,10.0080005
21014,Al-Mamurah,المعمورة,Nabeul,36.4653274,10.8084675
21015,Somaa,الصمعة,Nabeul,36.5427073,10.7802624
21016,Korba,قربة,Nabeul,36.5806067,10.8620804
21023,Qurbus,قربص,Nabeul,36.8171346,10.5682914
21029,Al Middah,الميدة,Nabeul,36.728017,10.8536132
33012,Sakiet Sidi Youssef,ساقية سيدي يوسف,Kef,36.2229267,8.355395099999999
34015,Bargou,برقو,Siliana,36.0939478,9.570129600000001
41011,Kairouan,القيروان,Kairouan,35.6711663,10.1005469
41013,Al-Waslatiyah,الوسلاتية,Kairouan,35.8519185,9.5951694
41021,Chebika,الشبيكة,Kairouan,35.6181201,9.925554199999999
42017,Majel Bel Abbes,ماجل بالعباس,Kasserine,34.7487352,8.5199254
42019,Foussana,فوسانة,Kasserine,35.3475953,8.6298119
43015,Bir Al Huffay,بير الحفي,Sidi Bou Zid,34.9266354,9.1954432
51011,Sousse,سوسة,Sousse,35.8245029,10.634584
51016,Akouda,أكودة,Sousse,35.8746739,10.5718086
51020,Enfidha,النفيضة,Sousse,36.1341527,10.3750554
51022,Sousse,زاوية سوسة,Sousse,35.8245029,10.634584
52018,Bani Hassan,بني حسان,Monastir,35.5673752,10.8084675
52019,Qusaybat-al-Madyun,قصيبة المديوني,Monastir,35.6885837,10.8423248
52020,Bennane,بنان بوضر,Monastir,35.6605685,10.8271843
52022,Sayada,صيادة,Monastir,35.6613343,10.9044277
52024,Moknine,المكنين,Monastir,35.632401,10.8959568
52025,Tabulbah,طبلبة,Monastir,35.6439601,10.9467939
52026,Bekalta,البقالطة,Monastir,35.6206465,10.9948315
52027,Lamta,لمطة,Monastir,35.674707,10.8761941
52030,Zaouiet Qontech,زاوية قنطش,Monastir,35.6446678,10.7605239
52031,Sidi Naïja,منزل فارسي,Monastir,35.5509362,10.8705484
52032,Sidi Bannour,سيدي بنور,Monastir,35.5257057,10.9100755
52034,Chrahil,شراحيل,Monastir,35.5165465,10.8620804
52035,Menzel Ennour,منزل النور,Monastir,35.6652605,10.7718025
52037,El Masdour,المصدور منزل حرب,Monastir,35.6820605,10.7351519
52038,Manzel Hayet,منزل الحياة,Monastir,35.5358167,10.6323247
52041,Amirat Hojjaj,عميرة الحجاج,Monastir,35.5014407,10.8197519
53011,Mahdia,المهدية,Mahdia,35.5024461,11.045721
53012,Ksour Essaf,قصور الساف,Mahdia,35.4175712,10.997658
53013,Chebba,الشابة,Mahdia,35.23369,11.1107854
53017,Surban,شربان,Mahdia,35.2849487,10.386287
53018,As-Sawasi,السواسي,Mahdia,35.3413093,10.5493011
53019,Rejiche,رجيش,Mahdia,35.46754130000001,11.0428931
53020,Kerker,كركر,Mahdia,35.4708302,10.647812
53021,Ouled Chamekh,أولاد شامخ,Kairouan,35.4914695,10.3189185
53022,Hbira,هبيرة,Kairouan,35.16795490000001,10.2291725
53023,Melloulèche,ملولش,Mahdia,35.1649908,11.0315823
61011,Sfax,صفاقس,Sfax,34.739822,10.7600196
61012,Sakiet Eddaier,ساقية الداير,Sfax,34.795474,10.7830826
61013,Sakiet Ezzit,ساقية الزيت,Sfax,34.8351803,10.766163
61015,Jebiniana,جبنيانة,Sfax,35.0349873,10.9072516
61016,El Hencha,الحنشة,Sfax,35.115481,10.7379706
61018,Bir Ali Ben Khlifa,بير علي بن خليفة,Sfax,34.7353771,10.0863269
61019,Al-Maharas,المحرس,Sfax,34.5259235,10.4902451
61020,Sfax,قرمدة,Sfax,34.7905761,10.7154228
61021,Sfax,الشيحية,Sfax,34.8084298,10.7295146
61025,Thyna,طينة,Sfax,34.6879749,10.707544
61026,Graiba,الغريبة,Sfax,34.4960648,10.2137565
71011,Gafsa,قفصة,Gafsa,34.4311398,8.7756556
71015,Umm Al Arais,أم العرايس,Gafsa,34.4892117,8.2595866
71016,El Guettar,القطار,Gafsa,34.3386982,8.9493751
71017,Mdhilla,المظيلة,Gouvernorat de Gafsa,34.2924904,8.7508702
71018,Tunis,القصر,Tunis,36.7993468,10.1770329
72011,Tozeur,توزر,Tozeur,33.918534,8.1229329
72012,Dguache,دقاش,Tozeur,33.9932083,8.228133699999999
72013,Naftah,نفطة,Tozeur,33.8761249,7.8803236
72014,Hammat-al-jarid,حامة الجريد,Tozeur,33.9990623,8.1611703
73011,Qibilī,قبلي,Kebili,33.7071551,8.971462299999999
73012,Douz,دوز,Kebili,33.46143540000001,9.0294708
73014,Al-Qalah,القلعة,Kebili,33.4827029,9.0046048
81012,Al-Hammah,الحامة,Gabes,33.8779023,9.745565
81014,Oudref,وذرف,Gabes,33.9873863,9.9632741
81015,Mareth,مارث,Gabes,33.6290091,10.2880581
81016,Matmata Nouvelle,مطماطة الجديدة,Gabes,33.6652857,10.0163892
81017,Ghannouch,غنوش,Gabes,33.9430531,10.0667387
81019,Sanini an Nahal,شنني نحال,Gabes,33.879796,10.0639407
81020,Matmatat-Al-Qadimal,مطماطة القديمة,Gabes,33.5445423,9.9676466
82011,Medinine,مدنين,Medenine,33.3399221,10.4958678
82012,Houmt Souk,جربة حومة السوق,Medenine,33.8759693,10.8572832
82013,Zarzis,جرجيس,Medenine,33.5041035,11.0881494
82014,Ben Gardane,بن قردان,Medenine,33.1431887,11.2183781
82015,Bani Kheddache,بني خداش,Medenine,33.2452178,10.2011453
82017,Djerba Ajim,جربة أجيم,Medenine,33.7322543,10.7605239
83011,Tataouine,تطاوين,Tataouine,32.9210902,10.4508956
12011,Ariana,أريانة,Ariana,36.8665367,10.1647233
12015,Sidi Thabet,سيدي ثابت,Ariana,36.9245069,10.0471549
13013,Mégrine,مقرين,Tunis,36.7754903,10.2319757
21012,Dar Chaabane Al Fehri,دار شعبان الفهري,Nabeul,36.4626965,10.7492466
23013,Ras Jebel,رأس الجبل,Bizerte,37.2161707,10.1143176
33013,Tajerouine,تاجروين,Kef,35.8904199,8.552874599999999
33016,Al-Jarissah,الجريصة,Kef,35.84663,8.6353104
34018,El Aroussa,العروسة,Siliana,36.37867,9.450643
41015,Haffuz,حفوز,Kairouan,35.6371854,9.675904
42012,Subaytilah,سبيطلة,Kasserine,35.2293281,9.1262461
51019,Sidi Bou Ali,سيدي بو علي,Sousse,35.95853450000001,10.4761897
51021,Bouficha,بوفيشة,Sousse,36.2990345,10.4537057
51026,Kondar,كندار,Sousse,35.9318349,10.303487
52021,Touza,طوزة,Monastir,35.6355991,10.8310377
52023,Ksar Hellal,قصر هلال,Monastir,35.6452612,10.8733712
52028,Bouhjar,بوحجر,Monastir,35.6654475,10.8592579
52029,Sidi Ameur,سيدي عامر مسجد عيسى,Monastir,35.7385788,10.7069688
52036,Manzil Kamil,منزل كامل,Monastir,35.6232768,10.6675267
52039,Amirat Fehoul,عميرة الفحول,Monastir,35.4480224,10.8268053
52040,Amiret Touazra,عميرة التوازرة,Monastir,35.4873262,10.766163
53014,Sidi Alouane,سيدي علوان,Mahdia,35.3769582,10.9383192
71013,Al-Rudayyif,الرديف,Gafsa,34.3856827,8.1611703
71014,Al-Mitlawi,المتلوي,Gafsa,34.3193669,8.407457299999999
13020,Hammam-Lif,حمام الشط,Ben Arous,36.718193,10.3694401
81013,Al-Matwiyah,المطوية,Gabes,33.9591353,10.0052044
13014,Hammam-Lif,حمام الأنف,Ben Arous,36.7230724,10.3441758
53016,El Jem,الجم,Mahdia,35.2923343,10.7041509
61024,Skhira,الصخيرة,Sfax,34.2976247,10.0751331
73013,Jamnah,جمنة,Kebili,33.5733447,9.0184183
